"Date","Price","Open","High","Low","Vol.","Change %"
"18-10-2024","2,718.60","2,704.35","2,718.60","2,718.60","6.04M","0.21%"
"17-10-2024","2,712.85","2,731.40","2,736.90","2,704.10","7.77M","0.17%"
"16-10-2024","2,708.15","2,680.00","2,728.00","2,675.25","10.02M","0.75%"
"15-10-2024","2,688.05","2,717.05","2,743.40","2,681.40","16.88M","-2.08%"
"14-10-2024","2,745.05","2,758.90","2,760.15","2,736.50","6.11M","0.03%"
"11-10-2024","2,744.20","2,740.00","2,766.55","2,737.65","3.99M","0.08%"
"10-10-2024","2,742.10","2,760.05","2,772.00","2,738.85","11.18M","-0.26%"
"09-10-2024","2,749.20","2,795.05","2,801.95","2,745.00","7.16M","-1.63%"
"08-10-2024","2,794.70","2,745.95","2,802.00","2,730.20","8.51M","1.94%"
"07-10-2024","2,741.45","2,787.00","2,793.00","2,722.75","11.09M","-1.14%"
"04-10-2024","2,773.05","2,807.85","2,834.70","2,763.55","18.54M","-1.45%"
"03-10-2024","2,813.95","2,873.15","2,898.80","2,804.15","18.88M","-3.95%"
"01-10-2024","2,929.65","2,961.30","2,975.90","2,925.65","8.22M","-0.80%"
"30-09-2024","2,953.15","3,038.80","3,049.95","2,948.80","13.50M","-3.25%"
"27-09-2024","3,052.35","2,998.00","3,066.95","2,984.00","10.30M","1.88%"
"26-09-2024","2,995.90","2,981.30","3,008.00","2,976.10","9.41M","0.27%"
"25-09-2024","2,987.90","2,967.80","2,993.00","2,960.40","3.53M","0.31%"
"24-09-2024","2,978.75","2,977.00","3,001.00","2,975.75","8.57M","-0.27%"
"23-09-2024","2,986.75","2,982.00","3,003.00","2,977.90","4.42M","0.50%"
"20-09-2024","2,971.85","2,948.00","2,990.00","2,942.75","15.45M","1.11%"
